,ID,class,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-crporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa
213,208,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1
50,293,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1
15,415,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
9,140,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1
43,213,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
196,196,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
115,323,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1
101,146,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1
108,13,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1
150,347,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
126,57,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1
172,149,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1
35,260,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
106,288,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1
164,405,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
17,255,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
52,432,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
155,67,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1
46,313,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
139,68,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
40,289,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1
79,186,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
142,410,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
192,316,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1
112,290,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1
154,134,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
73,228,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
59,152,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0
2,182,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
180,331,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
105,178,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
110,116,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
129,54,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
205,433,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1
181,36,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
158,232,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1
162,358,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
175,88,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
124,377,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
5,363,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1
107,359,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1
1,412,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1
76,160,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1
214,52,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
8,407,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1
45,132,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1
29,6,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1
104,395,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1
198,50,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
74,396,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1
32,185,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
169,380,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
36,106,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1
133,406,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
102,373,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
58,381,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1
83,223,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
85,171,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
119,320,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
7,148,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
21,150,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1
128,168,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1
200,124,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1
61,332,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
93,197,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1
127,365,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1
194,8,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
84,71,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1
135,141,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1
51,30,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
75,105,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1
78,353,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1
145,275,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1
190,60,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
42,210,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1
152,364,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0
38,180,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
82,250,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
168,66,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1
118,216,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
183,348,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
48,203,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1
66,115,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
113,21,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1
160,277,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
103,45,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1
34,321,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1
174,230,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1
144,379,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
98,326,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1
131,74,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1
193,336,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1
111,23,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
39,266,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
67,298,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1
163,39,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
23,201,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1
170,120,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
122,368,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1
120,158,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1
27,334,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
60,295,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1
41,43,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
187,296,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
63,42,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
54,174,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1
212,241,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1
99,81,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1
159,340,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
141,143,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1
26,154,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1
186,172,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
77,426,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1
62,22,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
25,329,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1
28,245,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1
134,402,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0
91,46,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
18,211,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1
197,16,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
161,280,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
148,352,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
123,269,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
189,156,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0
166,157,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0
149,370,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
204,401,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
20,98,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1
143,284,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
19,310,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1
156,254,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
137,38,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
140,314,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
130,236,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
10,419,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1
165,31,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
65,276,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0
16,102,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1
80,291,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1
22,24,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
13,70,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
57,264,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
44,376,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0
11,33,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1
95,125,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
167,375,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
94,65,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1
3,294,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
55,339,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1
146,268,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1
90,409,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1
109,14,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1
14,202,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
